cleaned_tokens,task1,task2
"['rt', 'amandaasette', 'isn't', 'future', 'don't', 'want', 'httpstco4vdmn6ejd5']",NOT,NONE
"['beauwatson18', 'shit', 'needed', 'hear', 'like', 'think', 'beau']",HOF,PRFN
"['never', 'trust', 'big', 'butt', 'smile', 'bermeacristian']",HOF,NONE
"['rt', 'afragmento', '', 'want', 'kiss', 'ticket', 'another', 'world', 'inside', 'mouth', 'see', 'httpstcovkzp4ot1ec', 'htt']",NOT,NONE
"['rt', 'alannized', 'get', 'rid', 'fucking', 'lonjas', 'ni', 'van', 'reconocer', 'pendeja']",HOF,PRFN
"['rt', 'powerscoach', 'bailey', 'goggans', 'girls', '800m', 'state', 'champ', 'along', 'state', '5a', 'record', '20739', 'awesome', 'job', 'bailey', 'httpstco313gfj']",NOT,NONE
"['rt', 'misterrudeman', 'nobody', 'literally', 'nobody', 'one', '7', 'billion', 'people', 'never', 'seen', 'game', 'thrones', 'one', 'who's', 'nev']",NOT,NONE
"['read', 'core', 'pathological', 'liar', 'comey', 'lying', 'himsel', 'public', 'years', 'anoth', 'httpstcofhaco9soou']",HOF,OFFN
"['rt', 'jordanuhl', 'turning', 'point', 'usas', 'unlv', 'president', 'we're', 'gonna', 'run', 'country', 'white', 'power', 'fk', 'ns', 'httpstcojant20nrha']",HOF,HATE
"['rt', 'johnpavlovitz', 'reason', 'left', 'support', 'president', 'reflects', 'hateful', 'heart', 'shares', 'contempt', 'people', 'o']",NOT,NONE
"['jamesmcc14', 'holy', 'fuck']",HOF,PRFN
"['rt', 'therapymemesftw', 'get', 'ass', 'back', 'damnit', 'httpstcohgprquwg0h']",HOF,PRFN
"['rt', 'staerrynight23', 'hi', 'armys', 'people', 'asthma', 'need', 'inhalator', 'concert', 'asked', 'stade', 'de', 'france', 'ar']",NOT,NONE
"['one', 'unfollower', 'today', 'found', 'tracked', 'httpstcotnsjbby0m5']",NOT,NONE
"['rt', 'livenationkpop', '', '""oohahh""', 'tickets', 'jypetwice', 'world', 'tour', '2019', ''twicelights'', 'newark', 'nj', 'sale', 'now', '', 'gra']",NOT,NONE
"['laurynsmith66', 'like', 'lauryn', 'think', 'we're', 'nice', 'good', 'like', 'i'd', 'genuinely', 'go', 'way', 'help', 'httpstco2yycuolrtt']",NOT,NONE
"['rt', 'knjight', 'yall', 'waited', 'white', 'woman', 'say', 'james', 'charles', 'problematic', 'trash', 'cancel', 'poc', 'telling', 'y'all', 'f']",HOF,HATE
"['braezellee', 'get', 'abortion', 'much', 'mental', 'shit', 'go', 'wha', 'httpstcozs7mqbg32k']",HOF,HATE
"['rt', 'txtinfos', 'huening', 'kai', 'said', 'get', 'ass', 'back', 'httpstconu0iqou0aq']",HOF,PRFN
"['rt', 'babbelusa', 'saw', 'ad', 'tucker', 'carlson's', 'show', 'you're', 'right', 'upset', 'place', 'ad', 'fox', 'did']",NOT,NONE
"['rt', 'bugiinillusion', 'nuest', 'happily', 'ever', '190501', '2220', '5067', 'copies', '72365', 'copies', 'total']",NOT,NONE
"['everyone', 'close', 'im', 'also', 'close', 'youll', 'start', 'suspicious', 'towards', 'clo', 'httpstcowsoerozquf']",NOT,NONE
"['legohaechan', 'babyjunseoo', 'parkjunhee', 'taeminfvx', 'two', 'stop', 'lying']",NOT,NONE
"['mother', 'thinks', 'i'm', 'joking', 'said', 'don't', 'boyfriend', 'thinks', 'don't', 'want', 'tell', 'looolsss', 'e', 'go', 'shock', 'woman']",NOT,NONE
"['rt', 'viscountbraith1', 'breaking', 'videos', 'yesterday', 'one', 'stood', 'speech', 'pakistani', 'mo', 'fyaz', 'im', 'sick', 'of']",HOF,HATE
"['greggsofficial', 'time', 'introduce', 'hot', 'cabinets', 'stores', 'sick', 'getting', 'cold', 'pasties', 'hearing', '""', 'httpstcouwf8wdorlr']",NOT,NONE
"['jin', 'halsey', 'blowing', 'kiss', 'jin', 'throwing', 'rose', 'cute', 'fuck', 'kill', 'mewoishkjdv']",HOF,PRFN
"['rt', 'davidjharrisjr', 'never', 'facts', 'control', 'emotional', 'rhetoric', 'stick', 'president', 'realdonaldtrump']",HOF,HATE
"['can2geterdone', 'potus', 'definitely', 'judge', 'mouth', 'piece']",HOF,OFFN
"['rt', 'dawnf1re', 'damn', 'getting', 'awfully', 'close', '5k', '', 'ok', 'art', 'giveaway', 'follower', 'milestone', 'would', 'prefer', 'see', 'raff']",NOT,NONE
"['rt', 'euphoriagnes', 'probably', 'watched', 'video', 'can't', 'get', 'enough', 'jimin', 'laughing', 'looking', 'like', 'full']",NOT,NONE
"['made', 'mistake', 'googling', 'episiotomy', 'forceps', 'delivery', 'physiology', 'class', 'feel', 'little', 'sick']",NOT,NONE
"['alyssamilano', 'benshapiro', 'couldn't', 'come', 'like', 'terrified', 'whiny', 'little', 'baby', 'tried']",HOF,NONE
"['rt', 'conservativma', 'please', 'sir', 'realdonaldtrump', 'congress', 'doesn't', 'act', 'doesn't', 'look', 'like', 'situation', 'going', 'get']",NOT,NONE
"['dany', 'dirty', 'bitch', 'going', 'kill', 'everyone', 'knows', 'jon', 'rightful', 'heir']",HOF,OFFN
"['shamrockbibby', 'emma', 'shut', 'you're', 'coming']",NOT,NONE
"['rt', 'tmulah', 'y'all', 'wanna', 'ban', 'abortions', 'ban', 'shit', 'httpstcofnkddwewyn']",HOF,PRFN
"['love', 'fucking', 'love', 'waking', 'sister', 'morning', 'cause', 'know', 'much', 'hates', 'loool']",HOF,PRFN
"['rt', 'rippedguys', 'damn', 'psvxxx', 'see', 'full', 'video', 'hot', 'videos', 'httpstcoznrhxpecvb', 'httpstco3jg3pkdl8e', 'rippedmen', 'h']",NOT,NONE
"['tomfitton', 'realdonaldtrump', 'lock', 'corruption']",HOF,OFFN
"['rt', 'squeakgod', 'nigga', 'said', '""school', 'didnt', 'teach', 'you""', 'like', 'shit', 'educational', 'httpstco17tf3dmlcn']",HOF,PRFN
"['rt', 'simp1n', 'hows', 'little', 'gf', 'thats', 'wife', 'makeups', 'trash']",HOF,OFFN
"['tblendzz', 'yo', 'ass', 'tweakin']",HOF,PRFN
"['tcbrissette', 'refs', 'suck', 'pathetic', 'actually']",HOF,OFFN
"['rt', 'minaandmaya', 'update', '6', 'newborn', 'puppies', 'survive', 'thrown', 'trash', 'coachella', 'officials', 'prepare', 'put', '38', 'dogs', 'found', 'a']",NOT,NONE
"['rt', 'barebakassassin', 'one', 'gives', 'shit', 'majored', 'unless', 'shutting', 'fuck', 'amp', 'leaving', 'people', 'alone']",HOF,OFFN
"['found', 'video', 'im', 'dying', 'ever', 'hear', 'say', 'get']",NOT,NONE
"['rt', 'blobyblo', 'would', 'submit', '""spoiler""', 'endgame', '""lullaby', 'cat""', 'captain', 'marvel', '""', 'home', 'far', 'away""', 'spiderman', 'far']",HOF,NONE
"['rt', 'itativcs', 'getting', 'super', 'frustrated', 'many', 'scientists', 'still', 'see', 'clinging', ''science', 'apolitical'', 'bit', 'like', 'planet', 'is']",NOT,NONE
"['i'm', 'tryna', 'get', 'someone's', 'hand', 'print', 'smacked', 'ass', 'ja', 'feel']",HOF,PRFN
"['rt', 'katiepavlich', 'amazing', 'machine', 'magically', 'works', 'tell', 'that's', 'way', 'he's', 'getting', 'paid', 'httpstcojdvnoh1crq']",NOT,NONE
"['niggas', 'like', 'never', 'worked', '9', '5', 'well', 'shit', 'y'all', 'hiring', 'cause', 'i'm', 'tryna', 'wonder', 'bread']",HOF,OFFN
"['thedarkknight07', 'would', 'suck']",HOF,PRFN
"['rt', 'xbxdvibesxx', 'suicidal', 'shit', 'think', 'want', 'relationship']",HOF,PRFN
"['rt', 'rockintrump', '""americas', 'greatest', 'first', 'daughter', 'ever', 'beautiful', 'smart', 'wardrobe', 'carries', 'self', 'puts']",NOT,NONE
"['thegreatkhalid', 'oh', 'add', 'he's', '21', '']",NOT,NONE
"['ndvrob', 'lindz46', 'zatzi', 'nigelfarage', 'utter', 'drivel', 'get', 'lies']",NOT,NONE
"['rt', 'rickkrauhl', 'justin', 'met', 'fan', 'told', 'journals', '20', 'coming', 'oh', 'god', 'buckle', 'bitches', 'we're', 'finally', 'getting', 'we've', 'want']",HOF,PRFN
"['rt', 'oneseoulph', 'want', 'baeby', 'look', 'go', 'ticketnetph', 'buy', 'tickets', 'updates', 'oneseoulph', 'baejinyoun']",NOT,NONE
"['need', 'go', 'cook']",NOT,NONE
"['rt', 'kateoneil75', 'fun', 'fact', 'keep', 'small', 'bottle', 'tapatio', 'room', 'case', 'cause', 'never', 'know', 'you're', 'gonna', 'need', 'sauce']",NOT,NONE
"['rt', 'defbabybird', 'thought', 'would', 'getting', 'actual', 'proper', 'spoilers', 'got', 'strange', 'noises', 'random', 'hype', 'movements', '', 'never']",NOT,NONE
"['gravity', '2019', 'httpstco2de0wu6tck']",NOT,NONE
"['i'm', 'glad', 'you're', 'back', 'bitch']",HOF,OFFN
"['rt', '666fuckthecops', 'things', 'want', 'put', 'mouth', 'httpstcokwxuo0whct']",HOF,NONE
"['holy', 'mother', 'glob', '', 'httpstcogsqi0dcipi']",NOT,NONE
"['guy', 'badass', 'fuck']",HOF,PRFN
"['realdonaldtrump', 'loudobbs', 'turn', 'bat', 'mr', 'president', 'wwg1wga']",NOT,NONE
"['ate', 'like', '20', 'pixie', 'stix', 'im', 'fucking', 'fired', 'bro', 'wants', 'fight']",HOF,PRFN
"['rt', 'fixerguy2', 'kylekulinski', 'crazycdn123', 'also', 'dont', 'tell', 'need', '2', '3', 'jobs', 'survive', '132m', 'ceo']",NOT,NONE
"['jeffreyguterman', 'realdonaldtrump', 'really', 'think', 'democratic', 'candidate', 'sniffy', 'joe', 'running', 'obama's', 'economic', 'r', 'httpstcooboeceg45n']",NOT,NONE
"['robreiner', 'graham', 'kicked', 'committee', 'proven', 'traitor', 'america', 'trumps', 'httpstcoq346yj7wea']",HOF,HATE
"['little', 'fake', 'ass', 'meeting', 'making', 'anxious', '']",HOF,PRFN
"['may', '19', '2019', '0600pm', 'chicago']",NOT,NONE
"['garbhum', 'agree', 'isnt', 'exactly', 'parallel', 'would', 'okay', 'pair', 'actors', 'whore', 'httpstcotf0zrkbrmc']",NOT,NONE
"['oh', 'fuck', 'it's', 'may']",HOF,PRFN
"['friend', 'asked', 'drive', 'airport', 'dumbass', 'said', 'yes', 'fuck', 'know', 'like', '11', 'hrs', 'clean', 'train', 'wreck', 'car']",HOF,PRFN
"['solenepersona', 'im', 'glad', 'youre', 'back', 'really', 'need', 'tell', 'got', 'manage', 'hdksjsjs']",NOT,NONE
"['rt', 'doyoubangtan', 'jh', 'yo', 'jhope', 'right', 'jm', 'hes', 'coolest', 'days', 'coolest', 'rm', 'jm', 'sg', 'quote', 'line', 'cypher']",NOT,NONE
"['ksiolajidebt', 'fucking', 'turn', 'super', 'sayian', 'guys', 'dont', 'vote', 'dax', 'thatsdax', 'ksiolajidebt', 'httpstcoabcxmercpd']",HOF,PRFN
"['people', 'never', 'let', 'get', 'trust', 'issues', 'ugh', 'im', 'fucking', 'sad']",HOF,PRFN
"['rt', 'armylo3e', 'one', 'tl', 'scroll', '', '', '', '', '', '', '', '', '', '', '', '', 'keep', 'scrolling', '', '', '', '', '', '', '', '', '', '', '', '', '', 'you're', 'obl']",NOT,NONE
"['therickydavila', 'hes', 'white', 'boy', 'dont', 'shit']",HOF,PRFN
"['anildelphi', 'he's', 'made', 'look', 'silly', 'national', 'tv', 'america', 'ban', 'think', 'businesses', 'go']",HOF,NONE
"['memeber', 'bought', 'number', 'i'm', 'fucking', 'crying', '', 'httpstco1jwo4mt9ea']",HOF,PRFN
"['rt', 'fourens', 'someone', 'asked', 'dad', 'sisters', 'don't', 'english', 'names', 'said', '""do', 'english', 'people', 'give', 'children', 'igbo', 'names""', '']",NOT,NONE
"['bitch', 'i'm', 'ion', 'gotta', 'explain']",HOF,PRFN
"['rt', 'kokereport', 'proceeding', 'based', 'false', 'allegations', 'president', 'could', 'terminate', 'proceeding', 'would', 'corru']",NOT,NONE
"['rhiannamator', 'totally', 'agree', 'like', 'taker', 'freshness', 'date', 'expired', 'years', 'ago']",NOT,NONE
"['dailycaller', 'omar', 'terrorist']",HOF,OFFN
"['""you', 'need', 'tlc', 'thc', 'long', 'dick', 'hennessyyea', 'that's', 'me""', '']",HOF,PRFN
"['rt', 'laylanicksss', 'you're', 'shitty', 'sex', 'workers', 'don't', 'call', 'feminist']",HOF,PRFN
"['oh', 'fucking', 'god']",HOF,PRFN
"['rt', 'sagarcasm', 'soty2', 'great', 'movie', 'totally', 'lives', 'expectations', 'expect', 'shit', 'turns', 'shit', '']",HOF,PRFN
"['robertflores59', 'fuck']",HOF,PRFN
"['rt', 'thehill', 'poll', '45', 'percent', 'americans', 'say', 'trump', 'impeached', 'httpstcozbtetouufw', 'httpstco2gqorqr0np']",HOF,HATE
"['rt', 'forexover', 'exovotingsquad', 'weareoneexo', 'country', 'came', 'second', 'yassss', 'go', 'sizt', 'exo', 'bbmastopsocial', 'exo', 'weareoneexo', 'https']",NOT,NONE
"['rt', 'mccauley713', '""y'all', 'fucking', 'y'all', 'money', 'trying', 'puff', 'daddy""', 'pimp', 'c', 'snoop', 'httpstcoxjsxgtsh37']",HOF,PRFN
"['friend', '10', 'years', 'doesn't', 'invite', 'wedding', 'she's', 'friend', 'right', '', 'bye']",NOT,NONE
"['laurenlopezz', 'didn't', 'want', 'expose', 'like']",NOT,NONE
"['karma', 'bitch', '']",HOF,PRFN
"['rt', 'fuckmiguei', 'jobs', 'want', '1', 'nosejob', '2']",HOF,NONE
"['theonlycleoluna', 'know', 'theyre', 'idiots', 'size', 'thors', 'stomach', '']",HOF,OFFN
"['anticipated', 'exceptionally', 'high', 'demand', 'cbeebies', 'proms', 'seated', 'tickets', 'sold', 'we'', 'httpstcoleo7nzhgsa']",NOT,NONE
"['happy', 'birthday', 'fine', 'ass', 'beauty', '', 'i'm', 'glad', 'met', 'you're', 'beautiful', 'funny', 'af', 'love', 'mu', 'httpstcox2tesiqccd']",HOF,PRFN
"['rt', 'itslilbaby1', 'thug', 'shit', 'better', 'days', 'coming']",HOF,PRFN
"['rt', 'weirdmoviebros', 'you're', '24', 'yr', 'old', 'piece', 'shit', 'break', 'home', '73', 'yr', 'old', 'threaten', 'wife', 'k']",HOF,HATE
"['rt', 'almostjingo', '""this', 'third', 'case', 'less', 'year', 'former', 'us', 'intelligence', 'officer', 'pled', 'found', 'guilty', 'con']",NOT,NONE
"['kimsrustywheels', 'they're', 'showing', 'america', 'ass', 'literally', 'figuratively', 'picks', 'asian', 'tourists']",HOF,HATE
"['rt', 'nursegreen', 'pinpointincorp', 'great', 'help', 'collaboration', 'work', 'local', 'boroughs', 'nhsbartshealth', 'truly', 'engaging', 'co']",NOT,NONE
"['want', 'go', 'prom', 'without', 'date']",NOT,NONE
"['kluber', 'big', 'fucking', 'bitch', 'peice', 'shit', 'fucking', 'kidding', 'suck', 'game', 'leave', 'fucki', 'httpstcoltq1cd0b22']",HOF,OFFN
"['thelovebelow', '', 'fucking', 'drawling']",HOF,PRFN
"['rt', 'depressiin', 'fuck', 'everyone', 'else', 'i'm', 'interested']",HOF,PRFN
"['rt', 'vondoviak', 'anyway', 'interest', 'prequels', 'would', 'probably', 'watch', 'arya', 'west', 'westeros']",NOT,NONE
"['rt', 'connorhannigan2', 'growing', 'siblings', 'come', 'come', 'you're', 'gonna', 'hit']",NOT,NONE
"['rt', 'realdonaldtrump', 'got', 'chris', 'wallace', 'said', '""i', 'actually', 'think', 'whether', 'like', 'opinions', 'mayor', 'pete', 'h']",NOT,NONE
"['rt', 'spanishcvndy', 'hello', 'sweets', 'daily', 'reminder', 'you're', 'bitch', 'even', 'you're', 'guy', 'you're', 'still', 'bitch', 'sis', '']",HOF,PRFN
"['don't', 'understand', 'fuck', 'took', 'roger', 'martinez', 'amp', 'kept', 'nico']",HOF,PRFN
"['rt', 'joonivert', 'americas', 'deflated', 'ass', 'httpstcopdcoebiotf']",HOF,PRFN
"['rt', 'ynbcjonjon', '""lou', 'see', 'niggas', 'tryna', 'run', 'ya', 'style', 'bitch', 'couldn't', 'shit', 'ya', 'they']",HOF,OFFN
"['rt', 'luvbaek4', 'listen', 'eggs', 'gap', 'twitter', 'fucking', 'big', 'need', 'fucking', 'decrease', 'lets', 'get', 'tweet', '14k', 'rts', 'a']",HOF,PRFN
"['q5', 'fucking', 'embarrassing']",HOF,PRFN
"['nobody', 'told', 'got', 'long', 'ass', 'nose']",HOF,PRFN
"['rt', 'catsexuall', 'shallah', 'brother', 'fuck', 'httpstcosmdoi6uxxj']",HOF,PRFN
"['panzaalt', 'case', 'correct', 'comments', 'probably', 'thrown', 'post', 'one', 'i', 'httpstcoknrkn9rxto']",NOT,NONE
"['imanmuejaza', 'kvngcharlie', 'meannnn', 'place', 'bad', 'wouldnt', 'go', 'thats', 'though', 'gotta', 'see', 'httpstcomru0oco8ts']",NOT,NONE
"['rt', 'tgalessa', 'oregon', 'said', 'fuck', 'stupid', 'ass', 'states', 'httpstco3vjddv8spq']",HOF,PRFN
"['rt', 'fatherrayo', 'girlfriend', 'that's', 'dad', 'crackhead', 'mom', 'left', 'boyfriend', 'forehead', 'big', 'girlfriend', 'httpst']",NOT,NONE
"['rt', 'taiwobusolami', 'government', 'still', 'prepared', 'governance', 'rather', 'wanted', 'suck', 'niger']",HOF,PRFN
"['rt', 'chickpeajimin', 'oh', 'shit', 'didnt', 'realize', 'mic', 'recording', 'httpstcovdzjnymykf']",HOF,PRFN
"['rt', 'kingheiric', 'james', 'charles', 'situation', 'yet', 'another', 'reminder', 'people', 'gotta', 'stop', 'giving', 'white', 'gays', 'benefit', 'doubt', 'when']",HOF,HATE
"['fuck', 'em', 'httpstco3393dwnvja']",HOF,PRFN
"['rt', 'nighttek', 'started', 'stanning', 'big', 'bang', 'recently', 'im', 'sorry', 'come', 'promise', 'get', 'better', 'i']",NOT,NONE
"['bostonsports18', 'need', 'fury', 'rematch']",NOT,NONE
"['rt', 'aristafbabi', 'coworker', 'brought', 'vegan', 'lasagna', 'today', 'i'm', 'ready', 'knock', 'shit', 'httpstcoezwgkqnpwp']",HOF,PRFN
"['instead', 'grateful', 'spell', 'god', 'small', 'letter', 'g']",NOT,NONE
"['interpret', 'dreams', 'means', 'subconscious', 'chooses', 'help', 'fulfill', 'hearts', 'deepest', 'most', 'httpstcojk72iflnzw']",NOT,NONE
"['nohasalah', 'ana', 'ba7bek', 'fash5', 'ya', 'noha', 'don't', 'even', 'knowww']",NOT,NONE
"['rt', 'gabrielitaa8', 'know', 'damn', 'well', 'random', 'guy', 'wasn't', 'famous', 'pulled', 'date', 'fake', 'nails', 'y'all', 'girls', 'would', 'like', 'wtf', 'kee']",HOF,PRFN
"['richiesloth', 'newtien0', '3ohblack', 'vanillaxtrees', 'actually', 'think', 'imbecile', 'works']",NOT,NONE
"['rt', 'archive93', 'case', 'you're', 'bad', 'day', 'httpstcobgkcaf3lhs']",NOT,NONE
"['clear', 'concise', 'accurate', 'nigelfarage', 'brexitpartyuk', 'shining', 'lights', 'malign', 'darkness', 'po', 'httpstcoyzkvuel8yn']",NOT,NONE
"['rt', 'asherxloren', '""don't', 'anything', 'stupid', 'get', 'back""', '""how', 'you're', 'taking', 'stupid', 'you""', 'httpstcog7scqedhza']",NOT,NONE
"['rt', 'raymellaxo', 'get', 'shit', 'together', 'skincare', 'happiness', 'amphealth', 'inner', 'peace', 'time']",HOF,PRFN
"['hey', 'im', 'saloduarte', 'livecam', 'salo', 'goal', 'fuck', 'dildo', 'lovense', 'ass', 'watch', 'show', 'live', 'httpstco3ypkrmm00t']",NOT,NONE
"['shut', 'fuck', 'love']",HOF,PRFN
"['rt', 'popsmdl', 'thought', 'vf', 'supporters', 'killed', 'white', 'genocide', 'httpstcogps0ggq315']",NOT,NONE
"['pd8557', 'thetrumptrain', 'realdonaldtrump', 'trump', 'pariah', 'removed', 'office', 'worst', 'history', 'httpstco3ch9srk9o2']",NOT,NONE
"['rt', 'saltydkdan', '""we', 'didn't', 'even', 'create', 'mr', 'mime', 'appeared', 'original', 'game', 'data', 'development', 'scared', 're']",NOT,NONE
"['rt', 'theyoungestkeys', 'battle', 'rapper', 'tell', 'every', 'single', 'pokemon's', 'characteristics', 'tell', 'he'll', 'shoot', 'ne']",NOT,NONE
"['rt', '98chamberlain', 'won't', 'chase', '', 'i'm', 'speed', 'walking', 'cause', 'ass', 'sit', 'bigger', '3', 'horses', '', 'prod', 'whycondo', 'sleeper']",NOT,NONE
"['rt', 'mdotbrown', 'kevin', 'durant', 'went', 'woulda', 'coulda', 'ass', 'rockets', 'couldn't', 'even', 'get', 'game', 'kevon', 'looney', 'jonas', 'jerebko', 'be']",NOT,NONE
"['rt', 'ericm888', 'suck', 'choi']",HOF,PRFN
"['blood', 'results', 'back', 'hba1c', 'levels', 'blood', 'sugar', 'would', 'explain', 'lot', 'im', 'glad', 'found', 'som', 'httpstcoow3dseq4qx']",NOT,NONE
"['btstwt', 'bruh', 'man', 'waking', 'tall', 'fuck']",HOF,PRFN
"['rt', 'minscosmos', 'dont', 'scroll', 'armys', 'dont', 'need', 'threatened', 'bts', 'concert', 'gonna', 'vote', 'regardless', 'want', 'see', 'o']",NOT,NONE
"['rt', 'demetriusharmon', 'arya', 'finna', 'fucking', 'discover', 'america']",HOF,OFFN
"['damn', 'need', 'one']",HOF,PRFN
"['marxiuminlow', 'i'm', 'sorry', 'misinterpreting', 'probably', 'used', 'wrong', 'words', 'i've', 'overthinking', 'lat', 'httpstcowypf5nwblv']",NOT,NONE
"['rt', 'byyronwins', 'nipsey', 'didn't', 'even', 'fuck', 'complex', 'cus', 'shit', 'like', 'literally', 'said', 'live', 'interview', 'httpstcoh1eyccdwgf']",HOF,PRFN
"['rt', 'akkami', 'attention', 'moots', 'need', 'help', 'get', 'post', '550', 'rts', 'help', 'means', 'alot', 'thank', 'you', 'ily', 'can', 'rtxrt']",HOF,NONE
"['rt', 'itsraimisyahmi', 'ouh', 'ya', 'either', 'member', 'bahan', 'cs', 'mentality', 'says', 'geli', 'la', 'orang', 'lain', 'pun', 'ada', 'awek', 'tak', 'lawa', 'ah', 'awek', 'kau', 'thos']",NOT,NONE
"['really', 'dumbest', 'shit', 'morning', '']",HOF,PRFN
"['rt', 'kimkai04148488', 'scroll', '', '', '', '', '', '', '', '', '', '', '', 'keep', 'scrolling', '', '', '', '', '', '', '', '', '', '', '', '', 'you're', 'obligated', 'rt', 'an']",NOT,NONE
"['two', 'years', 'ago', 'nobody', 'saw', 'coming', 'cisndkjdjaj']",NOT,NONE
"['rt', 'bitterrootguy', 'daxx98', 'seriouslywho', 'fuck', 'thinks', 'ok']",HOF,PRFN
"['rt', 'debrun63', 'two', 'standard', 'bearers', 'imperial', 'period', 'left', 'imaginifier', '3d', 'emperors', 'image', 'atop', 'pole', 'wearing', 'l']",NOT,NONE
"['budgetapo', 'twitchsupport', 'shit', 'corp', 'xd']",HOF,PRFN
"['gallivanscott', 'matthewstorey6', 'vote', 'whoever', 'fuck', 'want', 'authoritarian']",HOF,PRFN
"['rt', 'babyadjacent', 'found', 'veteran', 'tinder', 'today', 'httpstcokbbo8bck3o']",NOT,NONE
"['sandrawocs', 'stormydaniels', 'mactroll5', 'rachelstarrxxx', 'michaelavenatti', 'he's', 'billionaire', 'he's', 'con', 'artist', 'wa', 'httpstcon6y1sqozzm']",HOF,OFFN
"['tell', 'found', 'way', 'bitch', 'switched', 'httpstco6vexhhmylo']",HOF,PRFN
"['cnnpolitics', 'r', 'fucking', 'stupid', 'b', 'replaced', 'smarter', 'democrats']",HOF,PRFN
"['eunbjns', 'whos', 'ass', 'u', 'eaten']",HOF,PRFN
"['nevadajack2', 'fuck', 'hillary', 'lying', 'clinton']",NOT,NONE
"['corrupt', 'teach', 'pleaee', 'brainwash', 'good', 'want', 'use', 'much', 'beg', 'youre']",NOT,NONE
"['spittinchiclets', 'umm', 'mj', 'doesn't', 'know', 'he's', 'talking', 'jamie', 'benn', 'massive', 'hook', 'authe', 'httpstcoppwmth3gw7']",NOT,NONE
"['rt', 'aarroonn', 'i'm', 'glad', 'i'm', 'type', 'friend', 'that'll', 'call', 'kind', 'shit', 'fr', 'fuck', 'i'm', 'glad', 'none', 'friends', 'family', 'be']",HOF,PRFN
"['rt', 'karisparkk', 'don't', 'understand', 'men', 'aren't', 'speaking', 'abortion', 'ban', 'would', 'probably', 'father', 'rn', 'i']",HOF,NONE
"['rt', 'realdonaldtrump', '""no', 'president', 'history', 'endured', 'vicious', 'personal', 'attacks', 'political', 'opponents', 'still', 'president's', 'reco']",NOT,NONE
"['fuck', 'fuck', 'fuck', 'big', 'mood', 'druck']",HOF,PRFN
"['rt', 'nysohollywood', 'dont', 'ever', 'stop', 'solid', 'female', 'cause', 'weak', 'ass', 'nigga', 'folded']",HOF,HATE
"['rt', 'thedollquay', 'wanna', 'busy', 'ion', 'time', 'fuck', 'nobody']",HOF,PRFN
"['chicagotribune', 'look', 'like', 'fine', 'young', 'men', 'profile']",NOT,NONE
"['rumbunter', 'activated', 'perpetual', 'horseshoe', 'ass', 'inning']",HOF,OFFN
"['rt', 'stixilfox', 'since', 'pedophiles', 'map', 'nomap', 'allies', 'think', 'theyre', 'valid', 'sexual', 'orientation', 'decided', 'make', 'pride', 'fla']",HOF,OFFN
"['rt', 'flyawayk', 'realdonaldtrump', 'dear', 'jack', 'get', 'suspended', 'regularly', 'week', 'stupid', 'shit', 'blustering', 'imbecile', 'actua']",HOF,PRFN
"['going', 'take', 'ride', 'br', 'weather', 'want', 'onnat', 'pussy', 'ass', 'shit']",HOF,PRFN
"['theyarenotyou', 'wetmop3', 'mekaremadness', 'penguwingu', 'victoriatsao', 'ironwoodriver', 'fangirluranus', 'jguido14', 'you're', 'saviour', 'uwu', '']",NOT,NONE
"['rt', 'ketengahketepi', 'weve', 'hurt', 'words', 'speak', 'think', 'words', 'might', 'affect', 'someone', 'else', 'don't', 'r']",NOT,NONE
"['rt', 'bevchester', 'cersei', 'brooklyn', 'cause', 'dirty', 'don't', 'give', 'fuck', 'sansa', 'queens', 'cause', 'soft', 'khaleesi', 'harlem', 'cause', 's']",HOF,OFFN
"['join', 'nursing', 'midwifery', 'lecturers', 'learn', 'jcus', 'bachelor', 'nursing', 'science', 'double', 'degre', 'httpstcolkloqggaiz']",NOT,NONE
"['rt', 'mommyinadaze', 'today', '39th', 'birthday', 'amazing', 'birthday', 'gift', 'would', 'fucking', 'asshole', 'deranged', 'lunatic', 'get', 'fuck', 'ou']",HOF,PRFN
"['want', 'boneless', 'spareribs', 'shrimp', 'fried', 'rice']",NOT,NONE
"['you'll', 'get', 'smileeee']",NOT,NONE
"['edet', 'sex', 'offenders', 'look', 'access', 'victim', 'likelihood', 'victim', 'won't', 'tell', 'vulnerable', 'wa', 'httpstcocpqmylrtph']",NOT,NONE
"['want', 'get', 'word', 'broadcast', 'business', '2500000', 'people', '20', 'bucks', 'httpstcojhalgdb561']",NOT,NONE
"['rt', 'fjdanieletto', 'schwarzenegger', 'arnoldsports', 'glad', 'youre', 'ok', 'champ', 'knew', 'would', 'back']",NOT,NONE
"['secure', 'da', 'bag', 'fuck', 'dey', 'say']",HOF,PRFN
"['got', 'banging', 'ass', 'headache']",HOF,PRFN
"['rt', 'offlinemalek', 'reminder', 'don't', 'need', 'man', 'want', 'dick']",HOF,PRFN
"['finished', 's1', 'theoa', 'fucking', 'exceptional', 'gonna', 'get', 'stuck', 's2', 'thx', 'britmarling', 'et', 'al', 'ho', 'httpstcoua0f8jztku']",HOF,PRFN
"['rt', 'mikrotear', 'bts', 'txt', 'two', 'different', 'groups', 'bc', 'theyre', 'bh', 'doesnt', 'mean', 'theyre', 'debuted', 'many', 'o']",NOT,NONE
